activity_type,activity_date,Title,distance_km,Calories,activity_time,avg_hr,max_hr,aerobic_te,avg_pace,best_pace,Distance,avg_resp
Running,2023-09-12,"Bexar County Running",3.76,237,0:25:17,158,183,3.0,6:44,6:02,NULL,31
"Strength Training",2023-09-11,Strength,0.00,119,0:31:05,102,138,0.5,,,NULL,0
Walking,2023-09-11,"Bexar County Walking",2.08,116,0:30:08,102,125,0.5,14:29,9:36,NULL,0
Walking,2023-09-10,"Bexar County Walking",2.50,141,0:37:19,102,122,0.6,14:57,9:04,NULL,0
"Strength Training",2023-09-09,Strength,0.00,207,0:31:02,130,171,2.3,,,NULL,0
Walking,2023-09-07,"Bexar County Walking",1.25,72,0:18:09,96,113,0.3,14:32,10:54,NULL,0
"Strength Training",2023-09-07,Strength,0.00,111,0:28:17,103,129,0.4,,,NULL,0
Walking,2023-09-06,"Bexar County Walking",1.30,78,0:20:05,96,113,0.3,15:25,4:52,NULL,0
Cycling,2023-09-05,"Bexar County Cycling",3.01,92,0:24:32,106,143,0.6,7.4,32.7,NULL,0
Walking,2023-09-05,"Bexar County Walking",1.20,66,0:15:51,108,124,0.3,13:16,8:45,NULL,0
Running,2023-09-05,"Bexar County Running",4.00,249,0:28:25,153,178,2.8,7:06,6:05,NULL,30
Walking,2023-09-05,"Bexar County Walking",0.62,35,0:09:36,96,112,0.1,15:32,10:42,NULL,18
Walking,2023-09-04,"Bexar County Walking",1.22,69,0:17:10,101,116,0.3,14:04,8:51,NULL,0
"Strength Training",2023-09-04,Strength,0.00,99,0:30:32,95,128,0.3,,,NULL,0
Walking,2023-09-04,"Bexar County Walking",1.61,90,0:22:47,93,110,0.4,14:10,9:36,NULL,0
Walking,2023-09-02,"Bexar County Walking",1.15,73,0:17:08,114,130,0.4,14:51,8:16,NULL,0
Running,2023-09-02,"Bexar County Running",6.00,391,0:41:56,162,186,3.2,6:59,5:46,NULL,32
"Strength Training",2023-09-01,Strength,0.00,107,0:23:51,109,135,0.6,,,NULL,0
Walking,2023-08-31,"Bexar County Walking",2.07,115,0:28:26,104,126,0.5,13:43,10:02,NULL,0
"Strength Training",2023-08-31,Strength,0.00,157,0:29:29,117,157,1.3,,,NULL,0
Walking,2023-08-31,"Bexar County Walking",1.13,63,0:15:46,88,111,0.3,13:55,8:48,NULL,0
Walking,2023-08-30,"Bexar County Walking",2.01,105,0:25:36,114,130,0.5,12:44,11:14,NULL,0
Walking,2023-08-29,"Bexar County Walking",1.89,100,0:27:14,92,111,0.4,14:24,9:42,NULL,0
"Strength Training",2023-08-29,Strength,0.00,110,0:30:30,100,124,0.3,,,NULL,0
Walking,2023-08-28,"Bexar County Walking",2.47,135,0:34:32,97,111,0.5,14:00,5:42,NULL,0
Running,2023-08-27,"Corpus Christi Running",5.00,335,0:35:45,163,190,3.2,7:09,5:05,NULL,0
Walking,2023-08-27,"Corpus Christi Walking",0.45,30,0:09:20,93,105,0.1,20:52,11:27,NULL,0
Walking,2023-08-26,"Corpus Christi Walking",0.71,46,0:12:03,105,116,0.2,16:59,12:19,NULL,0
"Strength Training",2023-08-24,Strength,0.00,128,0:28:44,109,145,0.6,,,NULL,0
Walking,2023-08-23,"Bexar County Walking",1.23,69,0:16:34,102,115,0.3,13:28,8:51,NULL,0
"Strength Training",2023-08-23,Strength,0.00,137,0:27:06,114,156,1.0,,,NULL,0
Yoga,2023-08-21,Yoga,0.00,27,0:05:28,112,124,0.3,,,NULL,14
"Strength Training",2023-08-21,Strength,0.00,115,0:28:31,105,134,0.4,,,NULL,0
Walking,2023-08-21,"Bexar County Walking",1.17,64,0:16:04,93,103,0.3,13:42,10:27,NULL,0
Walking,2023-08-20,"Bexar County Walking",1.26,72,0:18:05,99,117,0.4,14:21,10:54,NULL,0
Running,2023-08-19,"Bexar County Running",4.50,302,0:31:32,166,198,3.2,7:01,5:28,NULL,33
Walking,2023-08-18,"Bexar County Walking",1.24,87,0:17:55,124,140,0.6,14:24,10:23,NULL,0
"Strength Training",2023-08-18,Strength,0.00,148,0:28:06,116,148,1.1,,,NULL,0
Walking,2023-08-17,"Bexar County Walking",1.24,68,0:17:13,101,120,0.3,13:51,9:30,NULL,0
"Strength Training",2023-08-16,Strength,0.00,156,0:31:46,113,161,1.0,,,NULL,0
Walking,2023-08-16,"Bexar County Walking",1.17,63,0:15:09,97,115,0.3,12:55,10:12,NULL,0
Walking,2023-08-15,"Bexar County Walking",1.46,87,0:26:00,92,110,0.3,17:46,7:52,NULL,0
"Strength Training",2023-08-14,Strength,0.00,118,0:33:43,99,135,0.3,,,NULL,0
Walking,2023-08-14,"Bexar County Walking",1.27,70,0:17:27,95,109,0.3,13:47,9:52,NULL,0
"Mountain Biking",2023-08-13,"San Antonio Mountain Biking",16.34,590,1:08:06,163,194,4.2,14.4,30.2,NULL,30
Walking,2023-08-12,"Bexar County Walking",1.61,92,0:22:18,105,127,0.5,13:53,9:33,NULL,0
Walking,2023-08-11,"Bexar County Walking",1.23,79,0:16:21,121,132,0.5,13:19,8:33,NULL,0
Walking,2023-08-10,"Bexar County Walking",1.28,75,0:20:35,99,113,0.3,16:06,10:12,NULL,0
Walking,2023-08-09,"Bexar County Walking",1.24,79,0:18:51,111,127,0.4,15:15,9:30,NULL,0
Walking,2023-08-08,"Bexar County Walking",1.23,73,0:17:08,107,124,0.4,13:59,8:40,NULL,0
Walking,2023-08-07,"Bexar County Walking",1.31,90,0:23:55,102,121,0.3,18:18,9:52,NULL,0
Walking,2023-08-06,"Laredo Walking",1.12,79,0:19:25,111,126,0.4,17:16,9:21,NULL,0
Walking,2023-08-05,"Laredo Walking",1.58,90,0:24:48,104,125,0.3,15:42,11:36,NULL,0
Walking,2023-08-03,"Bexar County Walking",1.31,79,0:20:13,94,111,0.3,15:28,8:53,NULL,0
Walking,2023-08-01,"Bexar County Walking",1.60,86,0:22:06,95,110,0.3,13:47,9:59,NULL,0
Walking,2023-07-31,"Bexar County Walking",1.00,66,0:18:21,100,117,0.2,18:26,10:23,NULL,0
Walking,2023-07-30,"Bexar County Walking",1.28,72,0:18:34,94,112,0.3,14:33,8:23,NULL,0
Cycling,2023-07-30,"Bexar County Cycling",5.56,179,0:20:36,155,182,3.1,16.2,27.4,NULL,0
"Strength Training",2023-07-29,Strength,0.00,223,0:45:15,117,168,2.0,,,NULL,0
"Strength Training",2023-07-27,Strength,0.00,81,0:18:13,106,142,0.6,,,NULL,0
Walking,2023-07-27,"Bexar County Walking",1.83,105,0:28:52,94,116,0.4,15:45,10:46,NULL,0
Walking,2023-07-26,"Bexar County Walking",1.82,98,0:25:13,96,117,0.4,13:53,10:27,NULL,0
Running,2023-07-26,"Bexar County Running",3.11,199,0:23:04,149,184,2.7,7:25,5:28,NULL,30
Walking,2023-07-25,"Bexar County Walking",1.24,72,0:18:09,101,117,0.3,14:42,10:12,NULL,0
"Strength Training",2023-07-25,Strength,0.00,116,0:30:57,101,145,0.5,,,NULL,0
Walking,2023-07-25,"Bexar County Walking",1.30,72,0:18:16,95,115,0.3,14:01,10:05,NULL,0
"Strength Training",2023-07-24,Strength,0.00,100,0:30:59,95,125,0.3,,,NULL,0
Walking,2023-07-24,"Bexar County Walking",1.27,67,0:16:46,92,107,0.3,13:14,9:04,NULL,0
Walking,2023-07-23,"Bexar County Walking",1.55,92,0:23:17,97,112,0.4,15:01,9:49,NULL,22
Running,2023-07-22,"Bexar County Running",4.00,267,0:32:46,150,194,2.9,8:11,5:00,NULL,28
